<<<<<<< HEAD
Sexo;UF;Doutorado;Mestrado;Superior de graduacao
Homens;Brasil;122836;277942;5233313
=======
Sexo;UF;Doutorado;Mestrado;Superior de graduacao
Homens;Brasil;122836;277942;5233313
>>>>>>> 493126a5b9a955a88d2adb3c31f1cfcbeaeb40e3
Mulheres;Brasil;95885;288085;7445696
